PRCE_REG_YMD,AMNT_RAIN,AVG_TEMP_C,total_SunL
20200401,0.0,11.3,19.12
20200402,0.0,9.3,21.25
20200403,0.0,10.0,22.56
20200406,0.0,9.3,22.51
20200407,0.0,10.6,19.3
20200408,0.0,9.4,24.86
20200409,0.0,8.9,24.79
20200410,0.0,10.7,21.07
20200413,0.0,12.4,26.02
20200414,0.0,13.0,25.93
20200416,0.0,16.0,22.96
20200417,6.5,12.5,4.23
20200420,0.1,10.0,7.34
20200421,0.0,7.4,23.63
20200422,0.0,6.0,15.89
20200423,0.0,7.9,25.72
20200424,0.0,9.9,26.61
20200427,0.0,12.9,22.98
20200428,0.0,13.9,26.97
20200429,0.0,14.9,26.1
20200504,0.0,20.2,25.42
20200506,0.0,19.4,28.51
20200507,0.0,20.7,23.93
20200508,2.3,19.9,23.26
20200511,3.4,16.5,22.98
20200512,0.7,14.3,13.6
20200513,0.0,16.1,29.7
20200514,0.0,19.3,20.64
20200515,12.0,16.1,3.43
20200518,29.8,19.1,14.07
20200519,19.0,13.0,15.29
20200520,0.0,14.4,20.91
20200521,0.0,17.4,24.35
20200522,0.0,18.5,13.07
20200525,0.0,16.6,16.88
20200526,1.5,16.2,18.49
20200527,0.0,17.4,30.06
20200528,0.0,18.7,22.83
20200529,0.0,20.7,28.09
20200601,0.4,19.7,30.35
20200602,2.0,17.9,5.89
20200603,0.0,22.0,24.64
20200604,0.2,21.9,19.77
20200605,0.0,23.0,23.36
20200608,0.0,25.0,26.13
20200609,0.0,26.7,28.36
20200610,6.2,25.8,18.85
20200611,0.0,26.1,26.03
20200612,0.0,24.7,11.51
20200615,0.0,23.0,26.53
20200616,0.0,24.4,24.74
20200617,0.0,24.3,21.25
20200618,0.0,23.4,11.0
20200619,0.1,24.7,19.6
20200622,0.0,28.6,28.95
20200623,0.0,27.3,16.97
20200624,37.6,22.3,2.91
20200625,13.3,21.6,6.11
20200626,2.1,21.8,13.03
20200629,11.9,23.8,8.4
20200630,64.7,20.1,6.2
20200701,0.0,21.1,9.47
20200702,0.0,24.2,19.15
20200703,0.1,25.5,27.47
20200706,0.0,25.6,19.28
20200707,0.0,24.1,15.15
20200708,0.0,25.5,25.81
20200709,0.0,27.5,23.1
20200710,2.2,24.5,12.3
20200713,47.6,18.7,4.58
20200714,11.5,20.3,12.46
20200715,0.0,23.4,26.6
20200716,0.0,25.0,25.76
20200717,0.0,26.0,22.28
20200720,3.6,23.8,5.15
20200721,0.0,25.0,17.83
20200722,11.5,23.7,4.5
20200723,103.1,21.1,2.72
20200724,2.9,22.5,10.46
20200727,2.2,24.3,7.72
20200728,0.4,24.4,8.38
20200729,50.1,23.7,3.18
20200730,0.1,25.3,15.34
20200731,1.5,26.2,14.5
20200803,102.6,25.0,3.0900000000000003
20200804,3.9,27.0,8.06
20200805,18.5,26.5,5.02
20200806,75.7,24.1,6.74
20200807,0.0,24.3,6.7
20200810,44.6,26.5,7.77
20200811,97.0,24.6,7.44
20200812,0.0,27.2,13.62
20200813,0.0,28.0,7.96
20200814,0.4,27.1,4.140000000000001
20200818,0.0,27.5,19.81
20200819,0.0,27.1,22.54
20200820,0.0,27.7,15.16
20200821,2.5,26.6,8.74
20200824,0.0,27.8,20.25
20200825,0.0,29.9,21.21
20200826,0.6,30.2,19.68
20200827,8.7,27.1,5.5
20200828,13.6,27.3,10.18
20200831,0.0,26.4,12.25
20200901,0.0,26.6,11.35
20200902,33.3,24.3,3.34
20200903,29.8,22.7,13.51
20200904,0.0,23.3,21.21
20200907,61.0,19.2,3.37
20200908,0.0,23.4,21.87
20200909,1.3,21.1,12.29
20200910,3.9,22.8,19.17
20200911,1.2,22.4,12.87
20200914,0.0,21.3,13.86
20200915,0.0,23.0,16.56
20200916,0.3,22.5,6.21
20200917,0.0,21.3,9.35
20200918,0.0,21.5,21.24
20200921,0.0,19.1,19.55
20200922,0.0,20.2,21.71
20200923,0.0,19.2,16.99
20200924,0.0,20.6,18.54
20200925,0.0,20.1,13.39
20200928,0.0,20.7,19.29
20200929,0.0,19.6,14.84
20201005,0.0,13.3,19.44
20201006,0.0,14.2,19.81
20201007,0.0,16.0,16.99
20201008,0.0,17.2,19.27
20201012,0.0,16.2,13.59
20201013,0.0,13.6,14.16
20201014,0.0,12.8,12.19
20201015,0.0,11.7,14.48
20201016,0.0,11.8,5.28
20201019,0.0,15.1,15.27
20201020,0.0,15.2,15.67
20201021,0.0,14.1,4.72
20201022,0.0,13.5,11.01
20201023,0.0,8.6,17.009999999999998
20201026,0.0,12.9,13.69
20201027,0.0,14.0,12.23
20201028,0.0,13.8,15.27
20201029,0.0,10.8,13.77
20201030,0.0,11.9,14.62
20201102,1.7,10.8,14.6
20201103,0.5,5.1,15.22
20201104,0.0,4.9,15.36
20201105,0.0,9.6,12.77
20201106,0.0,13.5,5.65
20201109,0.0,5.5,10.48
20201110,0.0,7.7,13.61
20201111,0.0,9.3,12.96
20201112,0.0,10.4,12.27
20201113,0.0,12.2,8.92
20201116,0.0,12.4,10.76
20201117,0.1,15.9,5.7
20201118,12.2,16.6,2.63
20201119,86.9,13.6,0.96
20201120,0.0,2.8,2.74
20201123,0.0,1.7,12.35
20201124,0.0,2.9,6.33
20201125,0.0,4.6,8.32
20201126,0.0,5.6,9.8
20201127,0.0,4.1,8.52
20201130,0.0,-0.2,11.55
20201201,0.0,1.1,10.69
20201202,0.0,2.4,6.38
20201203,0.0,0.7,11.52
20201207,0.0,3.4,8.93
20201208,0.0,-0.5,11.4
20201209,0.0,1.5,8.48
20201210,0.0,5.8,4.74
20201211,0.0,5.3,5.85
20201214,0.0,-7.7,11.44
20201215,0.0,-8.3,11.61
20201216,0.0,-8.3,11.44
20201217,0.0,-4.9,11.15
20201218,0.2,-2.1,8.45
20201221,0.0,-1.0,9.99
20201222,0.0,2.0,7.83
20201223,0.0,4.5,4.6
20201224,0.0,2.6,9.82
20201228,1.3,6.7,9.12
20201229,0.2,0.1,1.98
20201230,0.0,-10.9,11.36
20201231,0.0,-8.9,9.06
20210104,0.0,-3.5,7.44
20210105,0.0,-5.5,10.46
20210106,2.3,-7.4,11.78
20210107,0.0,-14.5,6.78
20210108,0.0,-14.9,12.38
20210111,0.0,-6.7,4.47
20210112,2.6,-3.9,6.13
20210113,0.0,2.0,8.27
20210114,0.0,1.7,10.21
20210115,0.2,4.5,2.11
20210118,0.3,-3.8,4.54
20210119,0.0,-6.3,12.48
20210120,0.0,-0.1,11.92
20210121,9.2,4.5,2.77
20210122,0.1,5.5,2.34
20210125,0.0,7.9,10.74
20210126,1.7,5.3,1.95
20210127,0.0,1.7,12.4
20210128,2.0,-2.6,6.140000000000001
20210129,0.0,-8.8,14.42
20210201,0.7,5.0,5.8
20210202,0.0,-5.6,14.69
20210203,3.4,-3.2,11.7
20210204,0.1,-3.6,15.33
20210205,0.0,1.4,7.95
20210208,0.0,-3.1,15.91
20210209,0.0,-0.9,15.46
20210210,0.0,3.4,6.15
20210215,1.4,1.2,9.69
20210216,1.5,-5.1,7.31
20210217,0.0,-8.3,17.28
20210218,0.0,-5.8,17.05
20210219,0.0,1.6,14.8
20210222,0.0,7.8,13.04
20210223,0.0,0.0,17.53
20210224,0.0,2.9,16.1
20210225,0.0,4.2,5.22
20210226,0.0,8.2,18.2
20210302,0.1,2.3,12.9
20210303,0.0,4.4,16.52
20210304,0.0,7.2,9.85
20210305,0.0,9.0,18.95
20210308,0.0,7.0,19.12
20210309,0.0,6.6,15.57
20210310,0.0,8.8,19.1
20210311,0.0,10.2,16.6
20210312,0.0,10.5,7.41
20210315,1.7,10.6,12.75
20210316,1.3,8.4,21.13
20210317,0.0,8.8,20.79
20210318,0.0,11.7,16.63
20210319,0.0,15.3,19.09
20210322,0.0,6.2,22.58
20210325,0.0,11.9,20.86
20210326,0.0,12.6,16.98
20210329,0.2,10.2,18.24
20210330,0.0,10.8,24.53
20210331,0.0,14.5,23.29
20210401,0.0,17.7,20.91
20210402,0.0,17.8,15.37
20210405,0.0,11.9,25.81
20210406,0.0,13.9,23.34
20210407,0.0,14.1,24.49
20210408,0.0,13.0,25.85
20210409,0.0,13.6,25.3
20210412,22.0,13.8,5.39
20210413,8.0,10.4,14.95
20210414,0.0,8.4,27.31
20210415,0.0,11.6,24.78
20210416,0.7,11.3,8.59
20210419,0.0,12.2,26.18
20210420,0.0,14.8,24.8
20210421,0.0,19.1,25.12
20210422,0.0,20.9,15.7
20210423,0.0,19.0,8.36
20210426,0.0,16.2,21.57
20210427,1.7,15.4,10.37
20210428,4.7,14.5,16.09
20210429,3.9,14.6,15.99
20210430,26.3,11.3,9.45
20210503,0.0,14.1,27.7
20210504,19.6,13.8,3.68
20210511,0.0,18.5,27.17
20210512,0.0,22.0,26.51
20210513,0.0,22.9,27.3
20210514,0.0,24.1,24.38
20210517,3.1,15.3,5.21
20210518,0.0,17.9,24.12
20210520,0.9,18.7,6.8
20210521,6.9,16.0,7.35
20210524,0.0,19.4,26.9
20210525,8.3,15.3,19.29
20210526,0.0,18.0,17.95
20210527,8.9,15.8,5.08
20210528,12.3,15.3,11.26
20210531,4.0,19.9,12.52
20210601,3.2,20.2,13.01
20210602,0.0,23.2,26.82
20210603,18.1,19.1,5.11
20210604,0.0,18.5,29.01
20210607,0.0,21.1,7.0200000000000005
20210608,0.1,23.6,21.25
20210609,0.0,25.8,24.78
20210610,6.1,24.9,14.13
20210611,4.6,21.5,10.08
20210614,0.0,24.8,22.29
20210615,1.9,22.5,7.61
20210616,0.0,24.3,27.3
20210617,0.0,21.9,9.59
20210618,6.3,20.0,4.5
20210621,0.0,23.6,25.72
20210622,0.0,22.8,20.23
20210623,7.5,22.4,19.49
20210624,0.0,23.0,17.8
20210625,0.0,24.1,24.74
20210628,0.1,23.7,13.52
20210629,8.0,23.9,14.1
20210630,6.0,24.3,16.22
20210701,0.0,26.3,20.59
20210702,0.0,27.1,22.19
20210705,0.0,23.3,12.59
20210706,0.0,25.3,19.15
20210707,12.7,26.4,11.81
20210708,2.9,26.0,14.1
20210709,0.0,25.5,14.49
20210712,0.0,28.1,19.1
20210713,0.0,28.8,11.59
20210714,0.0,29.7,22.48
20210715,0.0,29.1,22.77
20210716,0.0,28.8,26.76
20210719,67.4,26.4,10.07
20210720,0.0,27.9,14.62
20210721,0.0,30.5,24.1
20210722,0.0,31.2,27.69
20210723,0.0,31.2,26.91
20210726,0.0,31.2,29.3
20210727,0.0,31.1,17.22
20210728,0.0,30.4,16.38
20210729,0.0,29.6,14.86
20210730,0.0,30.5,21.86
20210802,1.7,26.5,8.42
20210803,0.0,28.0,13.25
20210804,0.0,28.9,19.55
20210805,0.0,29.4,20.51
20210806,0.0,28.1,18.13
20210809,0.0,28.3,24.73
20210810,0.0,27.7,20.07
20210811,0.0,27.4,16.55
20210812,0.0,26.8,14.8
20210813,0.0,26.6,12.03
20210817,9.3,25.9,17.49
20210818,5.6,24.3,17.87
20210819,0.0,26.0,20.95
20210820,0.0,26.6,17.21
20210823,7.4,22.4,3.81
20210824,10.5,23.4,4.58
20210825,0.3,25.0,8.96
20210826,0.7,25.5,8.07
20210827,0.9,22.4,3.01
20210830,0.0,24.2,12.46
20210831,77.4,20.5,2.39
20210901,0.8,21.4,7.24
20210902,0.0,23.5,13.24
20210903,0.0,24.3,24.64
20210906,12.0,22.3,12.02
20210907,29.6,19.6,1.8
20210908,1.6,22.2,18.18
20210909,0.0,23.5,18.9
20210910,0.0,23.6,16.96
20210913,0.0,24.8,17.61
20210914,0.0,24.6,21.88
20210915,0.0,23.6,22.62
20210916,0.0,22.9,20.18
20210917,0.0,23.5,18.05
20210924,0.0,21.8,18.34
20210927,0.0,21.6,11.36
20210928,1.3,21.5,9.29
20210929,13.1,20.2,2.85
20210930,0.0,20.3,17.21
20211001,13.3,21.1,18.42
20211005,0.0,23.6,8.11
20211006,6.4,18.8,3.26
20211007,4.6,19.4,4.86
20211008,3.5,18.8,2.8000000000000003
20211012,0.0,17.9,11.55
20211013,0.0,19.6,17.28
20211014,0.0,19.7,12.85
20211015,0.0,19.0,7.21
20211018,5.6,9.6,12.08
20211019,4.4,10.9,13.34
20211020,0.0,9.5,16.7
20211021,0.0,9.8,5.13
20211022,0.0,10.8,16.45
20211025,0.0,11.7,11.74
20211026,0.0,13.0,13.08
20211027,0.0,13.4,14.72
20211028,0.0,12.7,15.58
20211029,0.0,14.6,14.16
20211101,0.0,12.9,11.32
20211102,0.0,11.5,12.69
20211103,0.0,12.1,13.24
20211104,0.0,12.1,6.9
20211105,0.0,13.0,12.76
20211108,25.7,8.6,2.57
20211109,2.0,4.9,3.4
20211110,0.3,4.2,8.8
20211111,0.0,5.3,9.68
20211112,0.0,4.5,13.47
20211115,0.0,10.1,11.39
20211116,0.0,8.5,12.07
20211117,0.0,7.5,11.0
20211118,0.0,11.9,5.68
20211119,0.0,12.9,4.98
20211122,1.3,2.7,8.99
20211123,0.0,-0.6,8.4
20211124,0.0,4.1,7.93
20211125,0.0,5.7,10.25
20211126,0.0,2.9,7.6
20211129,0.0,7.6,7.47
20211130,27.2,5.7,0.84
20211201,0.0,-1.3,12.23
20211202,0.1,1.3,6.48
20211206,0.0,5.4,9.37
20211207,0.0,6.8,9.35
20211208,0.0,6.7,10.53
20211209,0.0,6.5,4.98
20211210,0.7,7.0,1.35
20211213,0.0,-2.2,11.43
20211214,1.2,3.7,6.1000000000000005
20211215,2.1,7.2,4.11
20211216,0.0,6.4,7.6
20211217,0.0,-5.6,10.96
20211220,0.0,5.2,8.61
20211221,0.0,5.2,7.93
20211222,0.0,2.2,10.21
20211223,0.0,2.7,8.85
20211224,0.2,-0.3,2.08
20211227,0.0,-7.6,6.09
20211228,0.0,-4.1,4.32
20211229,0.2,0.4,4.64
20211230,0.0,-3.9,9.14
20211231,0.0,-6.7,11.7
20220103,0.0,-1.9,9.35
20220104,0.0,-2.5,11.3
20220105,0.0,-2.8,6.12
20220106,0.0,-2.2,11.22
20220107,0.0,-1.6,11.12
20220110,0.9,0.5,7.25
20220111,0.2,-7.4,11.91
20220112,0.0,-7.7,11.93
20220113,0.0,-6.4,11.9
20220114,0.0,-4.8,12.1
20220117,0.5,-5.8,8.07
20220118,0.0,-5.6,12.4
20220119,1.7,-5.3,2.13
20220120,0.0,-5.0,12.29
20220121,0.0,-2.7,12.79
20220124,0.0,4.6,8.71
20220125,0.7,2.8,1.7
20220126,0.0,1.3,11.54
20220127,0.0,-1.1,11.72
20220128,0.0,-2.7,13.65
20220204,0.0,-5.2,12.94
20220207,0.0,-2.5,10.41
20220208,0.0,-0.1,14.49
20220209,0.0,1.0,12.8
20220210,0.0,1.4,14.93
20220211,0.0,2.9,13.28
20220214,1.7,2.5,7.04
20220215,0.0,-4.7,9.99
20220216,0.0,-7.3,16.28
20220217,0.0,-6.2,17.2
20220218,0.0,-1.2,15.91
20220221,0.1,-3.0,11.41
20220222,0.0,-4.5,15.64
20220223,0.0,-5.6,18.78
20220224,0.0,-2.4,18.42
20220225,0.0,3.0,12.36
20220228,0.0,6.8,10.5
20220302,0.0,3.5,19.53
20220303,0.0,5.8,19.16
20220304,0.0,6.9,10.65
20220307,0.0,2.8,14.99
20220308,0.0,6.0,16.44
20220310,0.0,9.3,16.75
20220311,0.0,11.2,14.49
20220314,8.7,8.2,2.18
20220315,0.0,7.2,17.55
20220316,0.0,10.3,17.669999999999998
20220317,1.2,10.7,9.49
20220318,0.0,7.5,5.17
20220321,0.0,5.0,16.69
20220322,0.0,7.1,21.71
20220323,0.0,6.2,7.05
20220324,0.0,8.2,6.34
20220325,10.9,12.0,9.06
20220328,0.0,8.2,24.71
20220329,0.0,9.7,23.32
20220330,0.4,10.8,7.640000000000001
20220331,0.0,10.9,13.98
20220401,0.0,9.2,23.35
20220404,0.0,10.3,24.75
20220405,0.0,10.3,21.21
20220406,0.0,11.7,21.54
20220407,0.0,10.9,24.3
20220408,0.0,12.9,24.92
20220411,0.0,19.6,24.04
20220412,0.5,19.3,18.23
20220413,1.3,13.1,4.06
20220414,0.0,13.2,9.52
20220415,0.0,13.3,26.31
20220418,0.0,15.2,20.59
20220419,0.0,15.2,25.17
20220420,0.0,15.7,26.26
20220421,0.0,16.3,19.54
20220422,0.0,15.0,3.06
20220425,1.3,20.0,8.1
20220426,1.0,21.9,24.94
20220427,0.0,17.7,26.83
20220428,0.0,18.2,22.34
20220429,15.5,13.4,13.08
20220502,0.0,14.2,26.03
20220503,0.0,14.8,28.07
20220504,0.0,17.8,27.22
20220506,0.0,19.6,25.6
20220509,0.0,17.9,29.25
20220510,0.0,19.9,27.82
20220511,0.0,19.7,25.73
20220512,0.0,20.9,27.45
20220513,0.0,19.4,19.95
20220516,0.0,17.3,28.89
20220517,0.0,20.0,27.56
20220518,1.5,20.0,15.71
20220519,0.0,19.9,20.97
20220520,0.0,20.6,25.74
20220523,0.0,23.0,26.01
20220524,0.0,22.9,28.86
20220525,3.5,21.0,22.59
20220526,0.0,18.7,28.88
20220527,0.0,20.0,28.71
20220530,0.0,20.8,9.8
20220531,0.0,20.7,27.48
20220602,0.0,21.5,27.13
20220603,0.0,24.5,27.2
20220607,0.0,20.6,17.34
20220608,0.0,21.2,16.97
20220609,2.6,20.9,10.66
20220610,1.2,20.9,15.38
20220613,18.0,23.6,20.66
20220614,0.0,21.5,18.58
20220615,18.5,17.5,5.62
20220616,0.7,20.3,13.0
20220617,0.0,22.5,17.86
20220620,0.0,25.2,12.59
20220621,0.0,26.5,28.94
20220622,0.0,25.9,22.39
20220623,103.0,24.3,3.41
20220624,19.1,22.6,8.5
20220627,6.1,26.8,4.75
20220628,6.3,26.9,3.33
20220629,37.8,25.1,2.94
20220630,176.2,22.3,2.42
20220701,0.0,26.6,21.53
20220704,0.0,29.3,14.9
20220705,0.0,29.2,15.99
20220706,16.1,29.5,14.49
20220707,0.0,28.2,8.29
20220708,1.7,25.8,6.94
20220711,9.0,27.0,13.85
20220712,0.0,26.8,11.82
20220713,114.5,25.0,1.25
20220714,0.9,25.7,17.21
20220715,0.0,26.0,24.49
20220718,0.0,26.8,21.01
20220719,0.0,27.4,23.44
20220720,1.1,27.1,17.68
20220721,10.4,23.2,6.6
20220722,5.2,25.1,13.54
20220725,0.0,27.5,25.49
20220726,0.0,28.9,22.31
20220727,0.0,29.3,19.72
20220728,0.0,29.7,25.2
20220729,0.0,30.7,20.28
20220801,30.0,28.6,15.09
20220802,33.5,26.8,4.37
20220803,51.1,27.1,8.74
20220804,0.0,28.9,22.24
20220805,0.0,29.4,19.58
20220808,129.6,26.8,1.07
20220809,123.1,25.1,2.42
20220810,7.6,24.7,16.23
20220811,38.8,25.0,8.81
20220812,0.0,27.0,24.86
20220816,0.0,26.7,23.34
20220817,0.0,26.0,17.099999999999998
20220818,0.0,25.6,12.57
